ID,Start time,Completion time,Email,Name,Qual foi seu semestre de ingresso na Universidade?,Neste momento você se encontra,Qual é o seu gênero?,"Durante as aulas, os professores costumam citar como o conteúdo atual se  relaciona com outras matérias do semestre ou de semestres anteriores",Com que frequência você utiliza conhecimentos de diferentes áreas em projetos do curso?,Em qual área você sente maior dificuldade de enxergar integração com o restante do curso?,Como você avalia a relevância profissional e acadêmica das matérias de humanas do curso,Com quais dessas áreas você já teve contato ao longo do curso?, Em quais tipos de atividades você mais percebe a interdisciplinaridade?,Você acha que o conceito de interdisciplinalidade está bem explícito para os discentes no início do curso?,Você acredita que deveria haver mais eventos interdisciplinares entre os cursos e outros departamentos?,Você acha que faltam Iniciações Cientificas com foco na interdisciplinalidade no departamento?,O curso de Sistemas de Informação promove a interdisciplinaridade entre as disciplinas ofertadas.,As disciplinas do curso são eficazes em auxiliar a aplicação de conhecimentos de diferentes áreas em projetos e situações reais.,Selecione a área que você considera possuir maior interação com Sistemas de Informação.,"Em uma escala de 0 a 10, quão interdisciplinares são as disciplinas do seu semestre atual em relação aos demais cursos da universidade?","Você participa ou já participou de atividades extracurriculares (como grupos de pesquisa, desenvolvimento de startups, ou competições tecnológicas) que exigiram o estudo prático de áreas fora da g...","Pensando nos desafios tecnológicos atuais (como integração de IA, sistemas autônomos ou lançamento de produtos no mercado), qual área de conhecimento interdisciplinar você sente que faz/fará mais ..."
1,2026-06-16 10:18:37,2026-06-16 10:23:27,anonymous,,2024.1,Semestralizado,Masculino,Frequentemente,Frequentemente,"Humanas/Sociais (Ética, Direito, Administração)",,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Projetos práticos;Trabalhos em grupo;Atividades de extensão;,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo Parcialmente,Concordo Totalmente,Matemática;,3,,
2,2026-06-16 21:39:19,2026-06-16 21:41:45,anonymous,,2024.1,Semestralizado,Feminino,Frequentemente,Frequentemente,"Humanas/Sociais (Ética, Direito, Administração)",Neutro,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Projetos práticos;,Concordo totalmente,Concordo totalmente,Não concordo nem discordo,Concordo Parcialmente,Concordo Totalmente,Matemática;Estatística;Engenharia;,8,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Matemática e Estatística Avançada (Modelagem de dados, visão computacional)"
3,2026-06-16 21:41:49,2026-06-16 21:46:47,anonymous,,2022.2,Semestralizado,Masculino,Às vezes,Frequentemente,"Humanas/Sociais (Ética, Direito, Administração)",Relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);Design e Arte (ex: UX/UI, design gráfico);",Projetos práticos;Atividades de extensão;,Não concordo nem discordo,Concordo totalmente,Concordo totalmente,Discordo Parcialmente,Neutro,Engenharia;,7,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Matemática e Estatística Avançada (Modelagem de dados, visão computacional)"
4,2026-06-16 21:49:42,2026-06-16 21:53:41,anonymous,,2024.1,Dessemestralizado,Masculino,Às vezes,Frequentemente,"Nenhuma, vejo integração em todas",Relevante,"Ciências Sociais (ex: sociologia, economia);Ciências Exatas (ex: matemática, lógica, estatística);",Trabalhos em grupo;,Discordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo Totalmente,Concordo Parcialmente,Matemática;,7,"Sim, mas o escopo das minhas atividades se mantém restrito ao desenvolvimento de software e programação.","Nenhuma, sinto que a grade curricular cobre bem as necessidades práticas do mercado."
5,2026-06-16 21:50:49,2026-06-16 21:54:53,anonymous,,2024.1,Dessemestralizado,Masculino,Raramente,Frequentemente,"Humanas/Sociais (Ética, Direito, Administração)",Relevante,"Ciências Sociais (ex: sociologia, economia);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Exatas (ex: matemática, lógica, estatística);",Projetos práticos;Atividades de extensão;,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo Parcialmente,Concordo Parcialmente,Matemática;Engenharia;Biologia;,7,"Sim, mas o escopo das minhas atividades se mantém restrito ao desenvolvimento de software e programação.","Matemática e Estatística Avançada (Modelagem de dados, visão computacional)"
6,2026-06-16 22:17:28,2026-06-16 22:23:32,anonymous,,2025.1,Dessemestralizado,Masculino,Às vezes,Frequentemente,"Ciências Exatas (Cálculo, Estatística)",Relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Projetos práticos;Trabalhos em grupo;,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Neutro,Neutro,Estatística;,6,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).",Design e Interação (Experiência do usuário - UX/UI)
7,2026-06-16 22:19:49,2026-06-16 22:24:50,anonymous,,2025.1,Semestralizado,Masculino,Frequentemente,Às vezes,"Nenhuma, vejo integração em todas",Neutro,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Atividades de extensão;Projetos práticos;,Concordo totalmente,Concordo parcialmente,Não concordo nem discordo,Neutro,Concordo Totalmente,Matemática;Estatística;Engenharia;Design;,6,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).","Engenharias (Hardware, robótica, redes de comunicação)"
8,2026-06-16 22:19:58,2026-06-16 22:25:12,anonymous,,2025.1,Semestralizado,Feminino,Sempre,Frequentemente,"Nenhuma, vejo integração em todas",Pouco relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);Design e Arte (ex: UX/UI, design gráfico);",Atividades de extensão;Projetos práticos;,Não concordo nem discordo,Concordo parcialmente,Discordo parcialmente,Discordo Parcialmente,Discordo Parcialmente,Estatística;Economia;,4,"Sim, frequentemente aplico e estudo conhecimentos de outras áreas (ex: engenharia, gestão de negócios, eletrônica).",Design e Interação (Experiência do usuário - UX/UI)
9,2026-06-17 07:06:38,2026-06-17 07:17:11,anonymous,,2025.1,Dessemestralizado,Feminino,Frequentemente,Raramente,"Nenhuma, vejo integração em todas",Muito relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Atividades de extensão;,Concordo parcialmente,Não concordo nem discordo,Não concordo nem discordo,Concordo Parcialmente,Neutro,Economia;Engenharia;Matemática;Design;,7,Não participo ou nunca participei de atividades extracurriculares desse tipo.,Design e Interação (Experiência do usuário - UX/UI)
10,2026-06-17 07:23:10,2026-06-17 07:28:02,anonymous,,2026.1,Semestralizado,Feminino,Frequentemente,Às vezes,"Nenhuma, vejo integração em todas",Relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Sociais (ex: sociologia, economia);",Atividades de extensão;Projetos práticos;,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo Parcialmente,Concordo Parcialmente,Matemática;Estatística;,5,Não participo ou nunca participei de atividades extracurriculares desse tipo.,"Gestão e Empreendedorismo (Análise de mercado, validação de negócios, marketing)"
11,2026-06-17 07:24:29,2026-06-17 07:37:52,anonymous,,2026.1,Semestralizado,Feminino,Frequentemente,Frequentemente,"Nenhuma, vejo integração em todas",Muito relevante,"Ciências Exatas (ex: matemática, lógica, estatística);Ciências Sociais (ex: sociologia, economia);",Trabalhos em grupo;Atividades de extensão;Projetos práticos;Disciplinas específicas;,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo Parcialmente,Neutro,Matemática;Estatística;Economia;Engenharia;,8,Não participo ou nunca participei de atividades extracurriculares desse tipo.,Design e Interação (Experiência do usuário - UX/UI)
12,2026-06-17 08:11:58,2026-06-17 08:37:41,anonymous,,2026.1,Semestralizado,Feminino,Às vezes,Às vezes,"Ciências Exatas (Cálculo, Estatística)",Relevante,"Design e Arte (ex: UX/UI, design gráfico);Ciências Exatas (ex: matemática, lógica, estatística);Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Sociais (ex: sociologia, economia);",Disciplinas específicas;Projetos práticos;,Não concordo nem discordo,Concordo parcialmente,Não concordo nem discordo,Neutro,Concordo Parcialmente,Matemática;,6,Não participo ou nunca participei de atividades extracurriculares desse tipo.,"Nenhuma, sinto que a grade curricular cobre bem as necessidades práticas do mercado."
13,2026-06-17 09:20:18,2026-06-17 09:24:39,anonymous,,Outro,Dessemestralizado,Masculino,Raramente,Às vezes,"Humanas/Sociais (Ética, Direito, Administração)",Muito relevante,"Ciências Humanas (ex: filosofia, ética, psicologia);Ciências Exatas (ex: matemática, lógica, estatística);Ciências Sociais (ex: sociologia, economia);",Trabalhos em grupo;,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Neutro,Neutro,Estatística;,5,"Sim, mas o escopo das minhas atividades se mantém restrito ao desenvolvimento de software e programação.","Matemática e Estatística Avançada (Modelagem de dados, visão computacional)"
